FundingOrganization,FY,A1. Amyloid,A2. Tau,A3. Presenilins,A4. ApoE and Lipids,A5. Brain Circuits and Synapses,A6. Cell Death,A7. Immunity and Inflammation,A8. Bioenergetics,A9. Vascular/ Metabolic Factors,A10. Hormones,A11. Genetics,A12. Other Pathogenic Mechanisms,A. Molecular Pathogenesis and Physiology of Alzheimer's Disease (Total Funding),B1. Fluid Biomarkers,B2. Imaging Biomarkers,"B3. Cognitive, Behavioral and Functional Assessment",B4. Multimodal Biomarkers,B5. Novel Biomarkers,B6. Novel Methodologies and Techniques,B7. Other,"B. Diagnosis, Assessment and Disease Monitoring (Total Funding)",C1. Drug Discovery (small molecules and biologics) ,C2. Preclinical Drug Development (small molecules and biologics) ,C3. Preclinical Proof of Concept for Non-Pharmacological Interventions ,C4. Clinical Trial Design,C5. Early stage Clinical Drug Development (Phase I and II Clinical Trials),C6. Late Stage Clinical Drug Development  (Phase III Clinical Trials) ,C7. Non-Pharmacological Interventions: Clinical Trials ,C8. Clinical Therapy Development for the Neuropsychiatric Symptoms of AD,C9. Clinical Ethics,C10. Other,C. Translational Research and Clinical Interventions (Total Funding),D1. Genetic/ Epigenetic Risks,D2. Cardiovascular and Metabolic Factors,D3. Nutrition and Other Environmental Factors,D4. Multimodal Risk Factors,D5. Other,D. Epidemiology (Total Funding),E1. Care Interventions and Quality of Life,E2. Technology Assisted Care,E3. Caregiver Support,E4. Cultural Values and Beliefs,E5. Economic Burden of Alzheimer's Disease,E6. Other,"E. Care, Support and Health Economics of Alzheimer's Disease (Total Funding)",TotalADResearchFunding
Administration on Aging (AoA),2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5482442,0,0,0,5482442,5482442
Administration on Aging (AoA),2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6723755,0,0,0,6723755,6723755
Administration on Aging (AoA),2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4215853,0,0,0,4215853,4215853
Administration on Aging (AoA),2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3227887,0,0,0,3227887,3227887
Agency for Healthcare Research and Quality (AHRQ),2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133643,133643,0,0,0,0,0,0,0,133643
Agency for Healthcare Research and Quality (AHRQ),2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285380,285380,0,0,0,0,0,0,0,285380
Agency for Healthcare Research and Quality (AHRQ),2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151742,151742,8724119,0,0,0,0,0,8724119,8875861
Agency for Healthcare Research and Quality (AHRQ),2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151146,151146,329495,0,0,0,0,0,329495,480641
Alzheimer's Association,2008,4829435,339816,200000,900000,1215588,340000,1445647,340000,540000,232080,1128000,0,11510566,538767,1954053,539715,0,327116,0,0,3359651,2105417,238936,239426,0,0,0,477449,100000,0,0,3161228,438362,335501,0,425526,478770,1678159,2073553,483010,718725,239080,0,0,3514368,23223972
Alzheimer's Association,2009,1927300,989778,280000,80000,999553,360000,450000,400000,380000,200000,840000,0,6906631,80000,1967207,480000,1179190,277098,0,0,3983495,1489997,0,0,359006,0,0,440000,0,0,0,2289003,0,79957,0,298100,0,378057,320000,320000,80000,420000,0,0,1140000,14697186
Alzheimer's Association,2010,2229624,410000,80000,80000,599970,440000,400000,719999,960000,0,160000,0,6079593,200000,929201,80000,600000,0,80000,0,1889201,3119210,0,80000,0,449966,0,0,0,0,0,3649176,0,80000,0,77422,0,157422,840000,364040,0,180000,0,0,1384040,13159432
Alzheimer's Association,2011,2097782,895935,400000,0,1948504,497443,100000,100000,650000,0,448749,0,7138413,650000,499988,0,0,100000,0,0,1249988,1149890,0,0,0,0,0,399223,0,0,0,1549113,149831,99662,100000,200000,199778,749271,579990,200000,0,200000,0,0,979990,11666775
Alzheimer's Drug Discovery Foundation,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,78978,200000,0,0,0,0,678978,2200128,395300,0,0,280000,0,0,0,0,0,2875428,0,0,0,0,0,0,0,0,0,0,0,0,0,3554406
Alzheimer's Drug Discovery Foundation,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,195000,0,0,200000,0,0,0,395000,2550099,100000,0,0,0,180000,0,0,0,175000,3005099,0,0,0,0,0,0,0,0,0,0,0,0,0,3400099
Alzheimer's Drug Discovery Foundation,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,247482,115000,0,150000,0,0,0,512482,3096668,150000,152000,0,1974300,0,70000,0,0,0,5442968,0,0,0,0,0,0,0,0,0,0,0,0,0,5955450
Alzheimer's Drug Discovery Foundation,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571400,0,0,0,0,0,571400,3539285,100000,0,0,738000,0,0,0,0,136000,4513285,0,0,0,0,0,0,0,0,0,0,0,0,0,5084685
Alzheimer's Research UK,2008,294746.08,0,0,0,0,142335.67,0,0,0,0,0,0,437081.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437081.76
Alzheimer's Research UK,2009,1201844.69,702739.88,0,0,0,0,0,0,221105.9,0,1455182.98,0,3580873.45,0,48318.77,0,167726.4,0,0,0,216045.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3796918.61
Alzheimer's Research UK,2010,1043709.18,0,0,0,0,0,138617.48,0,161052.35,0,756161.29,471684.86,2571225.16,0,250533.7,230295.94,2428996.29,0,0,0,2909825.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5481051.1
Alzheimer's Research UK,2011,32072.83,1167125.45,0,48297.62,47193.86,94987.15,833665.77,0,1189325.17,0,0,47690.91,3460358.76,0,206822.05,0,142442.05,0,38132.82,0,387396.92,0,159914.49,0,0,0,0,0,0,0,0,159914.49,0,0,0,0,0,0,0,0,0,0,0,0,0,4007670.16
Centers for Disease Control and Prevention (CDC),2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449724,0,0,0,449724,0,0,0,0,748789,748789,0,0,0,0,0,0,0,1198513
Centers for Disease Control and Prevention (CDC),2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449829,0,0,0,449829,0,0,0,0,750000,750000,0,0,0,0,0,0,0,1199829
Centers for Disease Control and Prevention (CDC),2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centers for Disease Control and Prevention (CDC),2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240000,240000,0,0,0,0,0,0,0,240000
Department of Veterans Affairs (VA),2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Veterans Affairs (VA),2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Veterans Affairs (VA),2010,1923819.23,876247.88,0,83437.89,479783.31,1355261.69,2457320.6,176088.09,318600,0,302778.62,270614.24,8243951.54,0,366397.87,456076,137200,337465.26,0,0,1297139.14,583900,0,0,0,0,0,2692347.55,41222.7,0,308224.4,3625694.65,0,0,0,0,0,0,90020,0,832262,0,47159,335489,1304930,14471715.33
Department of Veterans Affairs (VA),2011,847040,569951,0,0,143913,634200,1417274,0,150000,0,268268,0,4030646,0,513368,0,476498,0,0,0,989866,446500,150000,0,0,0,0,0,0,0,0,596500,0,0,0,0,0,0,0,0,0,0,0,0,0,5617012
United States Army Medical Research and Materiel Command ,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Army Medical Research and Materiel Command ,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Army Medical Research and Materiel Command ,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Army Medical Research and Materiel Command ,2011,0,2140000,0,0,0,0,333693,0,0,0,239470,0,2713163,339424,340434,361639,6000000,0,0,0,7041497,0,0,0,0,360417,0,0,0,0,0,360417,721423,0,0,480000,0,1201423,935646,740440,0,0,0,0,1676086,12992586
