Funding Organization,FY,A1. Amyloid,A2. Tau,A3. Presenilins,A4. ApoE and Lipids,A5. Brain Circuits and Synapses,A6. Cell Death,A7. Immunity and Inflammation,A8. Bioenergetics,A9. Vascular/ Metabolic Factors,A10. Hormones,A11. Genetics,A12. Other Pathogenic Mechanisms,A. Molecular Pathogenesis and Physiology of Alzheimer's Disease (Total Funding),B1. Fluid Biomarkers,B2. Imaging Biomarkers,"B3. Cognitive, Behavioral and Functional Assessment",B4. Multimodal Biomarkers,B5. Novel Biomarkers,B6. Novel Methodologies and Techniques,B7. Other,"B. Diagnosis, Assessment and Disease Monitoring (Total Funding)",C1. Drug Discovery (small molecules and biologics) ,C2. Preclinical Drug Development (small molecules and biologics) ,C3. Preclinical Proof of Concept for Non-Pharmacological Interventions ,C4. Clinical Trial Design,C5. Early stage Clinical Drug Development (Phase I and II Clinical Trials),C6. Late Stage Clinical Drug Development  (Phase III Clinical Trials) ,C7. Non-Pharmacological Interventions: Clinical Trials ,C8. Clinical Therapy Development for the Neuropsychiatric Symptoms of AD,C9. Clinical Ethics,C10. Other,C. Translational Research and Clinical Interventions (Total Funding),D1. Genetic/ Epigenetic Risks,D2. Cardiovascular and Metabolic Factors,D3. Nutrition and Other Environmental Factors,D4. Multimodal Risk Factors,D5. Other,D. Epidemiology (Total Funding),E1. Care Interventions and Quality of Life,E2. Technology Assisted Care,E3. Caregiver Support,E4. Cultural Values and Beliefs,E5. Economic Burden of Alzheimer's Disease,E6. Other,"E. Care, Support and Health Economics of Alzheimer's Disease (Total Funding)",Total AD Research Funding
Alzheimer's Drug Discovery Foundation,2008,,,,,,,,,,,,,,400000.00,78978.00,200000.00,,,,,678978.00,2200128.00,395300.00,,,280000.00,,,,,,2875428.00,,,,,,,,,,,,,,3554406.00
Alzheimer's Drug Discovery Foundation,2009,,,,,,,,,,,,,,195000.00,,,200000.00,,,,395000.00,2550099.00,100000.00,,,,180000.00,,,,175000.00,3005099.00,,,,,,,,,,,,,,3400099.00
Alzheimer's Drug Discovery Foundation,2010,,,,,,,,,,,,,,247482.00,115000.00,,150000.00,,,,512482.00,3096668.00,150000.00,152000.00,,1974300.00,,70000.00,,,,5442968.00,,,,,,,,,,,,,,5955450.00
Alzheimer's Drug Discovery Foundation,2011,,,,,,,,,,,,,,,571400.00,,,,,,571400.00,3539285.00,100000.00,,,738000.00,,,,,136000.00,4513285.00,,,,,,,,,,,,,,5084685.00
Alzheimer's Research UK,2008,294746.08,,,,,142335.67,,,,,,,437081.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437081.76
Alzheimer's Research UK,2009,1201844.69,702739.88,,,,,,,221105.90,,1455182.98,,3580873.45,,48318.77,,167726.40,,,,216045.16,,,,,,,,,,,,,,,,,,,,,,,,,3796918.61
Alzheimer's Research UK,2010,1043709.18,,,,,,138617.48,,161052.35,,756161.29,471684.86,2571225.16,,250533.70,230295.94,2428996.29,,,,2909825.94,,,,,,,,,,,,,,,,,,,,,,,,,5481051.10
Alzheimer's Research UK,2011,32072.83,1167125.45,,48297.62,47193.86,94987.15,833665.77,,1189325.17,,,47690.91,3460358.76,,206822.05,,142442.05,,38132.82,,387396.92,,159914.49,,,,,,,,,159914.49,,,,,,,,,,,,,,4007670.16
Centers for Disease Control and Prevention (CDC),2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,449724.00,,,,449724.00,,,,,748789.00,748789.00,,,,,,,,1198513.00
Centers for Disease Control and Prevention (CDC),2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,449829.00,,,,449829.00,,,,,750000.00,750000.00,,,,,,,,1199829.00
Centers for Disease Control and Prevention (CDC),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centers for Disease Control and Prevention (CDC),2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240000.00,240000.00,,,,,,,,240000.00
Department of Veterans Affairs (VA),2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Veterans Affairs (VA),2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Veterans Affairs (VA),2010,1923819.23,876247.88,,83437.89,479783.31,1355261.69,2457320.60,176088.09,318600.00,,302778.62,270614.24,8243951.54,,366397.87,456076.00,137200.00,337465.26,,,1297139.14,583900.00,,,,,,2692347.55,41222.70,,308224.40,3625694.65,,,,,,,90020.00,,832262.00,,47159.00,335489.00,1304930.00,14471715.33
Department of Veterans Affairs (VA),2011,847040.00,569951.00,,,143913.00,634200.00,1417274.00,,150000.00,,268268.00,,4030646.00,,513368.00,,476498.00,,,,989866.00,446500.00,150000.00,,,,,,,,,596500.00,,,,,,,,,,,,,,5617012.00
United States Army Medical Research and Materiel Command ,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Army Medical Research and Materiel Command ,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Army Medical Research and Materiel Command ,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Army Medical Research and Materiel Command ,2011,,2140000.00,,,,,333693.00,,,,239470.00,,2713163.00,339424.00,340434.00,361639.00,6000000.00,,,,7041497.00,,,,,360417.00,,,,,,360417.00,721423.00,,,480000.00,,1201423.00,935646.00,740440.00,,,,,1676086.00,12992586.00
